
"AMD uProf (Version:5.3.280.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/eshan/dev/js/target/release/js"
Command Line Arguments:,"target/release/js"
Working Directory:,"/home/eshan/dev/AMDuProf_Linux_x64_5.3.280/bin"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(256)"
Operating System:,"Linux Ubuntu 24.04.1 LTS-64 Kernel:6.8.0-85-generic"
Collect Command:,"./AMDuProfCLI collect --config hotspots -o /home/eshan/dev/sessions/ --pid 3425504"
Report Command:,"./AMDuProfCLI report --inline --detail -g --cutoff 0 -i /home/eshan/dev/sessions/AMDuProf-Attached-Hotspots_Feb-23-2026_11-01-17"

PROFILE DETAILS
Profile Session Type:,"Hotspots"
Profile Scope:,"Single Application"
CPU Mask:,"0-255"
CPU Affinity Mask:,"0-255"
Profile Start Time:,"Mon Feb 23 11:01:17 2026"
Profile End Time:,"Mon Feb 23 11:01:53 2026"
Profile Duration:,"35.798 seconds"
Data Folder:,"/home/eshan/dev/sessions/AMDuProf-Attached-Hotspots_Feb-23-2026_11-01-17"
Virtual Machine:,"No"
Call Stack Sampling:,"False"
Selected View:,"Time based hotspots"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
,"CPU_TIME","10.000 milliseconds","CPU Time is the time in which the CPU core is executing the code."


APPLICATION PERFORMANCE SNAPSHOT
Thread Count,"1"


"HOTTEST FUNCTIONS (Sort Event - CPU_TIME)"
FUNCTION,"CPU_TIME" (seconds),Module
"clear_page_erms",0.6000,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"__memmove_avx_unaligned_erms",0.5800,"/usr/lib/x86_64-linux-gnu/libc.so.6"
"_int_malloc",0.5800,"/usr/lib/x86_64-linux-gnu/libc.so.6"
"js::tree::build_node::hdbb2a45ac53a1e33",0.5600,"/home/eshan/dev/js/target/release/js"
"do_user_addr_fault",0.5500,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] __preempt_count_dec_and_test",0.5300,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_int_free",0.3600,"/usr/lib/x86_64-linux-gnu/libc.so.6"
"_copy_to_iter",0.3200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN10serde_json5value2de82_$LT$impl$u20$serde_core..de..Deserialize$u20$for$u20$serde_json..value..Value$GT$11deserialize17hd109c0bc349436a1E.llvm.6089437461344032786",0.2600,"/home/eshan/dev/js/target/release/js"
"_ZN175_$LT$serde_json..value..de..$LT$impl$u20$serde_core..de..Deserialize$u20$for$u20$serde_json..value..Value$GT$..deserialize..ValueVisitor$u20$as$u20$serde_core..de..Visitor$GT$9visit_map17h31824912f20e30a0E",0.2100,"/home/eshan/dev/js/target/release/js"
"free",0.2000,"/usr/lib/x86_64-linux-gnu/libc.so.6"
"ratatui::buffer::buffer::Buffer::diff::h028a3dd97cd433e4",0.1700,"/home/eshan/dev/js/target/release/js"
"malloc",0.1700,"/usr/lib/x86_64-linux-gnu/libc.so.6"
"_ZN5alloc11collections5btree3map5entry28VacantEntry$LT$K$C$V$C$A$GT$12insert_entry17ha63e7b9d6bcc973cE",0.1700,"/home/eshan/dev/js/target/release/js"
"serde_json::read::SliceRead::skip_to_escape::hc0e690c2e64e7ca0 (.llvm.963786366609203466)",0.1600,"/home/eshan/dev/js/target/release/js"
"_ZN108_$LT$alloc..collections..btree..map..Iter$LT$K$C$V$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17hca60d82218e49d84E",0.1600,"/home/eshan/dev/js/target/release/js"
"mem_cgroup_commit_charge",0.1600,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN68_$LT$serde_json..read..StrRead$u20$as$u20$serde_json..read..Read$GT$9parse_str17h5f64de11181df5edE",0.1600,"/home/eshan/dev/js/target/release/js"
"core::iter::traits::double_ended::DoubleEndedIterator::rfold::h6d0a02b6915908d4",0.1500,"/home/eshan/dev/js/target/release/js"
"__handle_mm_fault",0.1500,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"do_anonymous_page",0.1300,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN5alloc11collections5btree4node210Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Leaf$GT$$C$alloc..collections..btree..node..marker..Edge$GT$16insert_recursing17h11673f7a778533e1E",0.1200,"/home/eshan/dev/js/target/release/js"
"perf_iterate_ctx",0.1200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN5alloc11collections5btree3map25BTreeMap$LT$K$C$V$C$A$GT$6insert17h853647c3ab3e1d39E",0.1100,"/home/eshan/dev/js/target/release/js"
"_ZN5alloc11collections5btree3map25IntoIter$LT$K$C$V$C$A$GT$10dying_next17h41735d9ee89aada8E.llvm.2658051192602730804",0.1100,"/home/eshan/dev/js/target/release/js"
"_ZN60_$LT$alloc..string..String$u20$as$u20$core..clone..Clone$GT$5clone17hecd93673a1db7defE",0.1000,"/home/eshan/dev/js/target/release/js"
"zap_pte_range",0.0800,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"handle_pte_fault",0.0800,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"__memcmp_avx2_movbe",0.0700,"/usr/lib/x86_64-linux-gnu/libc.so.6"
"_ZN4core3ptr33drop_in_place$LT$js..app..App$GT$17hac6f50d14a7f7df2E",0.0600,"/home/eshan/dev/js/target/release/js"
"set_ptes.isra.0",0.0600,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"__rcu_read_unlock",0.0600,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN111_$LT$alloc..vec..Vec$LT$T$GT$$u20$as$u20$alloc..vec..spec_from_iter_nested..SpecFromIterNested$LT$T$C$I$GT$$GT$9from_iter17hf532e85f6911e9b7E",0.0500,"/home/eshan/dev/js/target/release/js"
"_ZN10serde_json2de21Deserializer$LT$R$GT$13parse_integer17hccadedfb5b8cf80dE",0.0500,"/home/eshan/dev/js/target/release/js"
"srso_alias_safe_ret",0.0500,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] memcg_rstat_updated",0.0500,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"js::tree::JsonTree::collect_visible::h6f19622b92b66357 (.llvm.1116801381122796746)",0.0400,"/home/eshan/dev/js/target/release/js"
"__alloc_pages",0.0400,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"__lruvec_stat_mod_folio",0.0400,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] mem_cgroup_lruvec",0.0400,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"get_page_from_freelist",0.0400,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN10serde_json2de21Deserializer$LT$R$GT$12parse_number17h2163e4ceef6efb67E",0.0400,"/home/eshan/dev/js/target/release/js"
"lock_vma_under_rcu",0.0400,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
